NIGP Code,CPV mapping
19057,24900000
19060,24321300
19068,24315100
19069,14612000
19070,24321000
19075,24110000
19080,24110000
19081,44113610
19085,24110000
19090,24000000
19095,24000000
19200,24311000
19210,24321000
19217,24321000
19218,39830000#39330000
19220,39830000#39330000
19225,39830000#39330000
19240,24315100
19243,24315100
19246,39830000#39330000
19255,24315100
19260,24321000
19265,24321000
19270,24321000
19280,39830000#39330000
19283,39830000#39330000
19284,24321000
19285,24000000
19300,38300000
19308,38300000
19312,38400000
19314,38430000#33000000
19318,38430000#33000000
19322,33600000
19326,38430000#33000000
19336,38430000#33000000
19340,38300000
19348,33600000
19352,38430000#33000000
19366,38300000
19380,38430000#33000000
19384,33100000
19385,38430000#33000000
19388,38910000
19389,38300000
19392,38430000#33000000
19394,38430000#33000000
19395,38300000
19397,33600000#85150000
19500,18521000
19508,39254100
19512,18521000
19515,39254100
19516,18521000
19517,39254100
19518,39254100
19519,39254100
19520,39254100
19523,39254100
19524,18510000
19527,18510000
19530,18510000
19532,39293500
19533,18510000#39293500
19540,39254100
19549,14521100
19550,39254100
19556,18521000
19560,18521000
19567,30123000
19568,30123000
19570,30123000
19574,38431000#35125000
19580,39254100
19583,39254100
19585,18521000
19588,18521000
20000,18100000#18400000
20010,18400000
20011,18400000
20013,18332000
20016,18210000#18223200
20018,18424000
20019,18424000
20025,18332000
20026,18100000#18400000
20027,18400000
20028,18231000#18232000
20031,33700000
20032,18410000#33000000
20034,18410000#33000000
20036,18318000
20038,35113000#35113400
20040,35113000#35113400
20042,18332000
20044,18234000#18233000
20045,18222100
20049,18100000#18400000
20056,18100000#18400000
20070,18331000
20074,18332000
20076,18222100
20078,18230000
20079,18412800
20085,18100000#18400000
20086,18100000#18400000
20087,18100000#18400000
20088,18100000#18400000
20090,18235400
20091,18114000
20092,18114000
20100,18420000
20113,18420000
20117,18420000
20119,18420000
20120,18420000
20125,18420000
20127,18931000
20130,37400000
20137,18420000
20139,18420000
20140,18420000
20141,18420000
20142,42410000
20145,18420000
20146,18420000
20147,18420000
20149,35113000
20151,18400000
20155,18420000
20158,18420000
20162,33600000
20165,35113000#35113400
20166,18420000
20167,18100000#18400000
20173,33600000
20180,18420000
20186,18318000
20187,18300000#18310000
20188,18300000#18310000
20300,30237200
20310,30237200
20314,30237200
20320,30213000
20323,30237200
20325,30237200
20330,30237200
20332,30237200
20334,30237200
20337,30237200
20342,30237200
20347,30237200
20349,30237200
20350,30237200
20355,30237200
20360,30237200
20367,30237200
20372,30237200
20375,30237200
20379,30237200
20382,30237200
20384,30237200
20385,30237200
20387,30237200
20389,30237200
20391,30237200
20400,31712114
20410,30197642#30197643
20413,30200000
20414,30197642#30197643
20416,31712114
20419,30237135#30230000
20420,31712349
20422,31712114
20424,30236100
20425,31712114
20428,30237200
20429,30237200
20432,30233000
20433,30233000
20434,30233000
20435,31500000
20437,30233000
20439,30233000
20442,30237135#30230000
20446,33100000
20447,31712114
20448,30237200
20453,30213000
20454,30213000
20455,30197642#30197643
20458,30160000
20460,30231300
20462,30237135#30230000
20464,32400000#32420000
20468,30160000
20470,33100000
20471,30237200
20472,30237200
20474,30232100
20475,30232100
20476,30232100
20477,30232100
20478,30232100
20479,42991200
20480,42991200
20482,30232100
20483,30213000
20484,48613000
20487,30237200
20488,30237200
20489,30237200
20490,30124500
20491,30213000
20493,30237200
20495,30237200
20496,30213000
20500,30213000
20510,30237200
20513,30237200
20516,30237200
20519,30237200
20520,30237200
20522,30237200
20524,30237200
20525,30237200
20528,30237200
20529,30237200
20532,30233000
20533,30233000
20534,30233000
20535,30233000
20537,30233000
20539,30233000
20542,30233000
20546,30237200
20547,30237200
20548,30237200
20553,30213000
20554,30213000
20555,30213000
20558,30213000
20560,30213000
20562,30213000
20564,30213000
20568,30237200
20570,30237200
20571,30237200
20572,30237200
20574,30237200
