Description,CPV
Dried cut crocosmias,03100000
Dried cut cytanthuses,03100000
Dried cut rumex or dock flowers,03100000
Dried cut eryngiums,03100000
Dried cut feverfews,03100000
Dried cut forget me nots,03100000
Dried cut gaillardias,03100000
Dried cut gentianas,03100000
Dried cut glamini gladioluses,03100000
Dried cut gloriosas,03100000
Dried cut gomphrena globosa or globe amaranth,03100000
Dried cut hellebores,03100000
Dried cut ixias,03100000
Dried cut liatrises,03100000
Dried cut lysimachias,03100000
Dried cut maracas,03100000
Dried cut marigolds,03100000
Dried cut mimosas,03100000
Dried cut nerines,03100000
Dried cut pepperberry flowers,03100000
Dried cut phlox,03100000
Dried cut physostegias or obedient plant,03100000
Dried cut saponarias,03100000
Dried cut sarracenias,03100000
Dried cut scillas,03100000
Dried cut sedums,03100000
Dried cut single species or varieties of flowers,03100000
Dried cut solomons seals,03100000
Dried cut tanacetums,03100000
Dried cut tracheliums,03100000
Dried cut tuberosas,03100000
Dried cut tweedias,03100000
Dried cut veronicas,03100000
Dried cut watsonias,03100000
Dried cut button chrysanthemums,03100000
Dried cut daisy pompon chrysanthemums,03100000
Dried cut cremon disbud chrysanthemums,03100000
Dried cut football disbud chrysanthemums,03100000
Dried cut spider chrysanthemums,03100000
Dried cut novelty chrysanthemums,03100000
Dried cut santini chrysanthemums,03100000
Fresh cut aspidistras,03221000
Fresh cut chile greens,03221000
Fresh cut copperbeech greens,03221000
Fresh cut eucalyptus greens,03221000
Fresh cut ferns,03451000
Fresh cut leaves or foliage,03451000
Fresh cut grasses,03441000
Fresh cut huckleberry,03220000
Fresh cut ivy,03451000
Fresh cut integrifolia,03220000
Fresh cut myrtle,03221000
Fresh cut oak leaves,03221000
Fresh cut oregonia,03221000
Fresh cut pittosporum,03221000
Fresh cut single species greens,03221000
Minerals,14523100
Ores,14600000
Base Metals,14700000
Precious metals,14523000
Dirt and soil,14212400
Stone,14212300
Sand,14211000
Clays,14221000
Sap,03450000
Wood,03410000
Forestry byproducts,03440000
Plant fibers,03115000
Perfumery products,03117100
Engineered wood products,03410000
Animal hides and skins and animal textile materials,19100000#19200000
Other animal products,03142000
Non metallic waste and scrap,14630000#03416000#19620000
Food and tobacco waste and scrap,15992000#15800000
Fibers,03115000
Threads,19400000
Yarns,19400000
Silk fabrics,19431000
Wool fabrics,19220000
Cotton fabrics,19212000#19433000
Synthetic fabrics,19211000#19440000
Fabrics of vegetable material other than cotton,19200000
Specialty fabrics or cloth,19240000
Nonwoven fabrics,19270000
Leathers,19100000
Basic steels,14622000
Stainless steel alloys,14600000
High speed steels,14622000
Nickel based super alloys,14722000
Titanium based super alloys,14724000
Aluminum based alloys,14721000
Cobalt based super alloys,14733000
Non ferrous metal oxides,14612000
Metal solids,14700000
Metal scrap,14700000
Turnings,14630000
Explosives,24600000
Pyrotechnics,39225500
Igniters,24615000
Propellants,24611000
Earth metals,24315500
Rare earth metals,24315500
Transition metals,14710000
Alkali metals,24311300
Non metals and pure and elemental gases,24111000
Noble gases,24100000
Industrial use gases,24110000
Isotopes,24315100
Indicators and Reagents,33696300
Catalysts,24000000
Buffers,24000000
Colloids,24000000#24311000
Surfactants,24311000
Plasticizers,24000000
Flame retardants,24311000
Anti oxidants,24311000
Curing agents,24000000
Polymer breakers,24500000
Emulsion breakers,24900000
Clay stabilizers,24957000
Fluid loss additives,24957000
Friction reducers,24900000
Paraffin asphaltene control agents,24900000
Mud removal mixtures,24958300
Anti sludgers,24900000
Anti gas migration agents,24900000
Expanding agents,24900000
Extenders,24315000#24900000
Oil well sealants,39812500
Corrosion inhibitors,24963000
Gas hydrate controllers,24900000
Chemical scavengers,24900000
Scale controllers,38311000
Bactericides,24900000#24000000
In situ,45241200
Retarders,34100000#34300000
Iron controllers,38120000
Non emulsifiers,24900000
Food or drug additives,24957000
Paper plastic and fabric modifiers,19520000#19200000
Dyes,24200000
Pigments,24200000
Color compounds and dispersions,24200000
Waxes,03142400
Oils,09100000
Hydrocarbonated solvents,24321000
Oxygenated solvents,24000000
Aliphatic and aromatic compounds,24321000
Organic derivatives and substituted compounds,24321300
Biochemicals,24900000
Inorganic compounds,24110000
Mixtures,24900000
Fixatives,24900000
Natural rubber,03116100
Processed and synthetic rubber,19710000
Elastomers,24900000
Thermoset plastics,24500000
Thermoplastic plastics,24500000
Resins,19522000#24500000
Rosins,19522000#24500000
Films,24931000
Foams,39000000
Raw materials,03000000#14000000
Printing and writing paper,30197620#30197630
Novelty paper,30194300#30199000
Personal paper products,22800000#30199000
Business use papers,22800000#30199000
Paperboard and packaging papers,30197600
Tissue papers,30190000
Laminated papers,30190000
Coated papers,30190000
Newsprint and offset papers,30120000#22991000
Uncoated base papers,30194300
Specialty industrial use papers,30194300
Petroleum and distillates,09130000
Solid and gel fuels,09110000
Fuel Oils,09135000
Gaseous fuels,09120000
Fuel additives,24951200#09100000
Lubricating preparations,09210000
Anti corrosives,24900000
Greases,24951000
Nuclear fuel,09340000
Fission fuel assemblies,09100000
Cutting equipment,42600000
Screens and feeding equipment,42000000
Crushers and breakers and grinders,43414000
Mechanized ground support systems,42000000
Secondary rock breaking systems,43000000
Exploration and development systems,48000000
Rock drills,43132300
Explosive loading machinery,42418900
Underground mining service vehicles,43600000
Drilling and exploration equipment,43130000
Drilling and operation machinery,43132100
Drilling and operation accessories,43132100#43130000
Acidizing equipment,43100000
Cementing equipment,43400000
Fracturing equipment,43000000
Sand control equipment,43600000#43000000
Completion tools and equipment,42600000#43130000
Conventional drilling tools,43130000
Drilling bits,43130000
Fishing tools,37410000
Directional drilling equipment,43130000
Well measurement and logging equipment,38000000
Fixturing and test equipment,38000000
Perforating equipment,30123500
Well testing equipment,43121500
Slickline equipment,43000000
Production systems equipment,43100000
Coiled tubing equipment,43121400
Seismic equipment,38293000
Oil country tubular goods,42113120#44164000
Drilling and workover rigs and equipment,43130000
Surface data logging equipment,38126000
Multilateral equipment,43100000
Casing exit tools,44160000
Expandable downhole equipment,43136000
Casing while drilling tools,42113120#44164000
Drilling mud and materials,24951110
Well fracturing proppants,76471000
Completion fluids,24950000
Oil well cement,44111200
Wellhead equipment,43612700
Chemical injection systems,42993000
Desanding equipment,42000000
Downhole jet pumps and anchors,42122000
Downhole production accessories,43136000
Downhole pumps,43136000
Export pumps,42122000
Offshore production and storage platforms,43131000
Well production flow measurement meters,38550000
Gas treating equipment,42000000
Glycol regenerators,42900000
Heater treaters,42900000
Line heaters,42900000#42000000
Production injection skids,42100000
Ocean floor equipment,34930000#42000000
Produced water treating equipment,42912300#42900000
Production control system instrumentation,42900000
Pumping units,42900000
Production separators,42100000
Storage vessels and tanks,44611400
Sucker rods,44332000
Pipeline service equipment,44161000
Agricultural machinery for soil preparation,16100000
Agricultural machinery for planting and seeding,16100000
Agricultural machinery for harvesting,16300000
Dispersing and spraying appliances for agriculture,16400000
Poultry and livestock equipment,15112000#03322000
Agricultural machinery for cleaning and sorting and grading,16610000
Agricultural processing machinery and equipment,16000000
Forestry machinery and equipment,16100000#16600000#16800000
Greenhouse equipment,03100000
Insect equipment,42000000
Commercial fishing equipment,34513100#37413000
Aquaculture equipment,34513100#37413000
Earth moving machinery,43210000
Paving equipment,43312300
Heavy equipment components,42400000
Aerial lifts,42400000
Building construction machinery and accessories,43300000
Building demolition machinery and equipment,43300000
Machinery for working wood and stone and ceramic and the like,42641000
Petroleum distilling and processing machinery and equipment,42910000#42000000
Hydrotreating machinery,42900000#42000000
Textile processing machinery and accessories,42700000#42710000
Textile working machinery and equipment and accessories,42700000#42710000
Grinding and sanding and polishing equipment and supplies,43811000#43414000
Faceting equipment and accessories,42900000
Cabbing equipment,42210000#42200000
Leather preparing machinery and accessories,42700000
Leather working and repairing machinery and accessories,42700000
Rubber and plastic processing machinery and equipment and supplies,42994000
Cement and ceramics and glass industry machinery and equipment and supplies,42641200#42641000
Optical industry machinery and equipment and supplies,38600000#38000000
Pharmaceutical industry machinery and equipment and supplies,33000000
Paper making and paper processing machinery and equipment and supplies,42800000
Web handling and control machinery and equipment and supplies,31400000#42000000
Separation machinery and equipment,42000000
Manufacturing tables and stands,39121200
Packaging machinery,42921320
Holding and positioning and guiding systems and devices,38112100#38000000
Industrial machinery components and accessories,42000000
Robotics,48000000#72000000
Assembly machines,38000000
Paint systems,38000000
Part marking machines,30170000
Precision fastening or torque equipment,42600000
Coating systems,44113330
Foundry machines and equipment,43400000
Foundry supplies,43400000
Foundry dies and tooling,43400000
Food preparation machinery,42210000
Food cutting machinery,42215100
Food cooking and smoking machinery,42210000
Industrial beverage processing machinery,42220000
Batch mixers,42900000
Continuous mixers,42900000
Mixer parts and accessories,42600000
Gas liquid contacting systems,42000000
Adsorption and ion exchange,24000000#42000000
Industrial drying equipment,42716000
Electronic assembly machinery and support equipment,31711500
Electronic manufacturing and processing machinery,31712000
Arrival department machinery and equipment,42000000
Killing and defeathering department machinery and equipment,16650000
Evisceration department machinery and equipment,16650000
Log debarkers and accessories,42000000#42900000
Bandsaws and accessories,42600000#42900000#42000000
Circular saws and accessories,42600000#42900000#42000000
Lumber edgers,44511500#42675100#03410000
Trimsaws and accessories,44511500#42675100#03410000
Lumber sorters and accessories,44511500#42675100#03410000
Lumber stackers and accessories,44511500#42675100#03410000
Lumber kilns and equipment and accessories,44511500#42675100#03410000
Lumber chippers and accessories,43312200
Planers and accessories,43312100
Lumber surfacers and accessories,3410000
