Description,CPV
Fresh cut multi-colored pink rose ,03100000
Fresh cut orange rose ,03100000
Fresh cut peach rose ,03100000
Fresh cut pink rose ,03100000
Fresh cut red or burgundy rose ,03100000
Fresh cut sweetheart rose ,03100000
Fresh cut white rose ,03100000
Fresh cut yellow rose ,03100000
Fresh cut spray roses,03100000
Fresh cut anthuriums,03100000
Fresh cut alliums,03100000
Fresh cut alstroemerias,03100000
Fresh cut amaranthuses,03100000
Fresh cut amaryllises,03100000
Fresh cut anemone,03100000
Fresh cut asclepias,03100000
Fresh cut asters,03100000
Fresh cut berzelia lanuginosas,03100000
Fresh cut bouvardias,03100000
Fresh cut brodiaeas,03100000
Fresh cut callas,03100000
Fresh cut carnations,03100000
Fresh cut celosias,03100000
Fresh cut daffodils,03100000
Fresh cut dahlias,03100000
Fresh cut delphiniums,03100000
Fresh cut dianthuses,03100000
Fresh cut eremuruses,03100000
Fresh cut ericas,03100000
Fresh cut euphorbias,03100000
Fresh cut freesias,03100000
Fresh cut fritillarias,03100000
Fresh cut genistas,03100000
Fresh cut gerberas,03100000
Fresh cut ginger plants,03100000
Fresh cut gladioluses,03100000
Fresh cut godetias,03100000
Fresh cut guzmanias,03100000
Fresh cut gypsophilias,03100000
Fresh cut heather,03100000
Fresh cut heliconias,03100000
Fresh cut hyacinths,03100000
Fresh cut hydrangeas,03100000
Fresh cut irises,03100000
Fresh cut kangaroo paws,03100000
Fresh cut larkspurs,03100000
Fresh cut leptos,03100000
Fresh cut lilacs,03100000
Fresh cut lilies,03100000
Fresh cut limoniums,03100000
Fresh cut lisianthuses,03100000
Fresh cut muscari blooms or grape hyacinths,03100000
Fresh cut narcissus,03100000
Fresh cut dendrobium orchids,03100000
Fresh cut ornamental peppers,03100000
Fresh cut ornithogalums,03100000
Fresh cut peonies,03100000
Fresh cut proteas and leucadendrons and banksias,03100000
Fresh cut ranunculuses,03100000
Fresh cut scabiosas,03100000
Fresh cut scotch brooms,03100000
Fresh cut snap dragons,03100000
Fresh cut statices,03100000
Fresh cut matthiola incana or stock flowers,03100000
Fresh cut sunflowers,03100000
Fresh cut sweet peas,03100000
Fresh cut thistles,03100000
Fresh cut tulips,03100000
Fresh cut waxflowers,03100000
Fresh cut yarrows,03100000
Fresh cut zinnias,03100000
Fresh cut agapanthuses,03100000
Fresh cut alchemillas,03100000
Fresh cut alstilbes,03100000
Fresh cut angelicas,03100000
Fresh cut artemesias,03100000
Fresh cut artichoke flowers,03100000
Fresh cut astrantias,03100000
Fresh cut banana flowers,03100000
Fresh cut baptisias,03100000
Fresh cut boronias,03100000
Fresh cut bromelias,03100000
Fresh cut brunias,03100000
Fresh cut calatheas,03100000
Fresh cut calcynias,03100000
Fresh cut calendulas,03100000
Fresh cut campanulas or bellflowers,03100000
Fresh cut cestrums,03100000
Fresh cut chasmanthes,03100000
Fresh cut costuses,03100000
Fresh cut crocosmias,03100000
Fresh cut cytanthuses,03100000
Fresh cut rumex or dock flowers,03100000
Fresh cut eryngiums,03100000
Fresh cut feverfews,03100000
Fresh cut forget me nots,03100000
Fresh cut gaillardias,03100000
Fresh cut gentianas,03100000
Fresh cut glamini gladioluses,03100000
Fresh cut gloriosas,03100000
Fresh cut gomphrena globosa or globe amaranth,03100000
Fresh cut hellebores,03100000
Fresh cut ixias,03100000
Fresh cut liatrises,03100000
Fresh cut lysimachias,03100000
Fresh cut maracas,03100000
Fresh cut marigolds,03100000
Fresh cut mimosas,03100000
Fresh cut nerines,03100000
Fresh cut pepperberry flowers,03100000
Fresh cut phlox,03100000
Fresh cut physostegias or obedient plant,03100000
Fresh cut saponarias,03100000
Fresh cut sarracenias,03100000
Fresh cut scillas,03100000
Fresh cut sedums,03100000
Fresh cut single species or varieties of flowers,03100000
Fresh cut solomons seals,03100000
Fresh cut tanacetums,03100000
Fresh cut tracheliums,03100000
Fresh cut tuberosas,03100000
Fresh cut tweedias,03100000
Fresh cut veronicas,03100000
Fresh cut watsonias,03100000
Fresh cut button chrysanthemums,03100000
Fresh cut daisy pompon chrysanthemums,03100000
Fresh cut cremon disbud chrysanthemums,03100000
Fresh cut football disbud chrysanthemums,03100000
Fresh cut spider chrysanthemums,03100000
